sku_id,nome_produto,categoria,subcategoria,fornecedor_id,lead_time_reposicao,custo_unitario,preco_venda_sugerido,estoque_fisico,estoque_reservado,estoque_disponivel,ponto_pedido,data_ultima_entrada,status_disponibilidade,shelf_life_dias,volume_m3,capital_imobilizado_custo,capital_potencial_venda,spread_markup_sugerido,em_risco_ruptura,is_descontinuado
SKU-00037,Blush Básico Vermelho,Beleza,Blush,FORN-047,15,358.8,838.01,78,13,65,55,2025-09-21,Em Estoque,675,0.233,23322.0,54470.65,2.34,False,False
SKU-00038,Espelho de Mesa Slim Verde,Lifestyle,Espelho de Mesa,FORN-032,6,125.99,292.46,384,59,325,107,2024-01-16,Em Estoque,448,0.0917,40946.75,95049.5,2.32,False,False
SKU-00039,Shorts Oversize Rosa,Moda,Shorts,FORN-077,53,231.2,561.03,1137,208,929,135,2025-04-23,Em Estoque,448,0.3562,214784.8,521196.87,2.43,False,False
SKU-00040,Sérum Facial Básico Rosa,Beleza,Sérum Facial,FORN-029,57,282.88,591.2,297,47,250,131,2025-09-12,Em Estoque,518,0.1766,70720.0,147800.0,2.09,False,False
SKU-00041,Creme Hidratante Slim Azul,Beleza,Creme Hidratante,FORN-016,51,139.91,390.15,486,47,439,59,2023-12-16,Em Estoque,717,0.2988,61420.49,171275.85,2.79,False,False
SKU-00042,Pulseira Slim Azul,Acessórios,Pulseira,FORN-047,7,134.86,368.55,64,8,56,21,2023-09-10,Em Estoque,448,0.064,7552.16,20638.8,2.73,False,False
SKU-00043,Pochete Básico Preto,Acessórios,Pochete,FORN-074,54,198.37,457.19,94,1,93,74,2024-02-27,Em Estoque,448,0.2464,18448.41,42518.67,2.3,False,False
SKU-00044,Esfoliante Premium Bege,Beleza,Esfoliante,FORN-020,54,52.37,104.59,285,53,232,67,2025-07-15,Em Estoque,619,0.1534,12149.84,24264.88,2.0,False,False
SKU-00045,Kit Skincare Sport Branco,Beleza,Kit Skincare,FORN-098,51,257.7,521.44,41,2,39,71,2023-09-03,Estoque Crítico,598,0.2258,10050.3,20336.16,2.02,True,False
SKU-00046,Creme Hidratante Premium Azul,Beleza,Creme Hidratante,FORN-037,9,287.14,668.02,351,29,322,77,2025-10-22,Em Estoque,382,0.2131,92459.08,215102.44,2.33,False,False
SKU-00047,Esfoliante Clássico Rosa,Beleza,Esfoliante,FORN-019,6,42.66,122.36,304,72,232,83,2024-02-15,Em Estoque,592,0.4714,9897.12,28387.52,2.87,False,False
SKU-00048,Blush Sustentável Branco,Beleza,Blush,FORN-077,46,357.98,993.49,309,32,277,16,2023-04-22,Em Estoque,201,0.4998,99160.46,275196.73,2.78,False,False
SKU-00049,Almofada Artesanal Preto,Lifestyle,Almofada,FORN-098,50,198.79,525.29,469,71,398,56,2025-07-21,Em Estoque,448,0.4846,79118.42,209065.42,2.64,False,False
SKU-00050,Batom Oversize Verde,Beleza,Batom,FORN-086,6,345.94,736.05,355,63,292,83,2025-07-27,Em Estoque,217,0.228,101014.48,214926.6,2.13,False,False
SKU-00051,Blusa de Tricô Básico Vermelho,Moda,Blusa de Tricô,FORN-066,5,269.91,666.18,930,185,745,137,2025-08-25,Em Estoque,448,0.1343,201082.95,496304.1,2.47,False,False
SKU-00052,Shorts Sustentável Dourado,Moda,Shorts,FORN-016,45,389.8,1003.42,245,39,206,13,2025-07-03,Em Estoque,448,0.4209,80298.8,206704.52,2.57,False,False
SKU-00053,Calça Jeans Urban Bege,Moda,Calça Jeans,FORN-064,9,213.37,434.74,494,62,432,126,2025-03-13,Em Estoque,448,0.3001,92175.84,187807.68,2.04,False,False
SKU-00054,Porta-Retrato Luxo Branco,Lifestyle,Porta-Retrato,FORN-036,11,149.15,426.62,136,0,136,82,2025-05-27,Em Estoque,448,0.4995,20284.4,58020.32,2.86,False,False
SKU-00055,Máscara de Cílios Sustentável Prata,Beleza,Máscara de Cílios,FORN-062,10,146.33,412.74,193,29,164,92,2023-12-08,Em Estoque,419,0.4282,23998.12,67689.36,2.82,False,False
SKU-00056,Óleo Corporal Sport Dourado,Beleza,Óleo Corporal,FORN-091,57,166.71,443.77,420,83,337,48,2024-01-05,Em Estoque,282,0.4372,56181.27,149550.49,2.66,False,False
SKU-00057,Perfume Sustentável Preto,Beleza,Perfume,FORN-093,7,175.79,465.43,79,2,77,130,2024-06-20,Estoque Crítico,587,0.3253,13535.83,35838.11,2.65,True,False
SKU-00058,Cinto Luxo Prata,Acessórios,Cinto,FORN-049,10,258.18,779.68,249,69,180,19,2025-02-08,Em Estoque,448,0.4605,46472.4,140342.4,3.02,False,False
SKU-00059,Meias Básico Vermelho,Acessórios,Meias,FORN-013,15,287.48,506.2,85,22,63,86,2023-01-11,Estoque Crítico,448,0.3983,18111.24,31890.6,1.76,True,False
SKU-00060,Blusa de Tricô Edição Limitada Bege,Moda,Blusa de Tricô,FORN-032,13,176.58,475.16,480,97,383,71,2024-10-05,Em Estoque,448,0.3193,67630.14,181986.28,2.69,False,False
SKU-00061,Esfoliante Premium Dourado,Beleza,Esfoliante,FORN-037,15,227.71,391.25,483,88,395,86,2025-07-23,Em Estoque,489,0.1004,89945.45,154543.75,1.72,False,False
SKU-00062,Blush Básico Azul,Beleza,Blush,FORN-049,14,156.4,324.28,358,37,321,15,2025-07-09,Descontinuado,230,0.4554,50204.4,104093.88,2.07,False,True
SKU-00063,Almofada Delicado Azul,Lifestyle,Almofada,FORN-078,10,103.22,196.55,128,8,120,34,2025-11-02,Em Estoque,448,0.221,12386.4,23586.0,1.9,False,False
SKU-00064,Sombra Clássico Branco,Beleza,Sombra,FORN-038,10,304.04,571.91,67,17,50,103,2025-09-09,Estoque Crítico,348,0.1292,15202.0,28595.5,1.88,True,False
SKU-00065,Kit Chá Delicado Rosa,Lifestyle,Kit Chá,FORN-096,10,325.61,764.97,38,2,36,67,2025-12-22,Estoque Crítico,448,0.49,11721.96,27538.92,2.35,True,False
SKU-00066,Lenço Oversize Branco,Acessórios,Lenço,FORN-051,5,120.49,216.61,188,43,145,77,2025-07-27,Em Estoque,448,0.1864,17471.05,31408.45,1.8,False,False
SKU-00067,Kit Chá Premium Nude,Lifestyle,Kit Chá,FORN-072,10,367.8,718.75,32,7,25,87,2025-07-04,Estoque Crítico,448,0.0707,9195.0,17968.75,1.95,True,False
SKU-00068,Colar Sustentável Branco,Acessórios,Colar,FORN-013,8,357.16,648.98,232,47,185,148,2024-10-24,Em Estoque,448,0.4428,66074.6,120061.3,1.82,False,False
SKU-00069,Kit Chá Artesanal Vermelho,Lifestyle,Kit Chá,FORN-036,5,282.31,549.84,227,30,197,102,2023-11-12,Em Estoque,448,0.4889,55615.07,108318.48,1.95,False,False
SKU-00070,Batom Slim Azul,Beleza,Batom,FORN-016,59,54.84,106.36,327,76,251,15,2023-06-08,Em Estoque,390,0.0352,13764.84,26696.36,1.94,False,False
SKU-00071,Garrafa Térmica Artesanal Azul,Lifestyle,Garrafa Térmica,FORN-030,10,314.26,899.36,305,0,305,80,2023-03-18,Em Estoque,448,0.0881,95849.3,274304.8,2.86,False,False
SKU-00072,Vela Aromática Clássico Preto,Lifestyle,Vela Aromática,FORN-046,52,243.76,396.17,135,3,132,42,2025-07-17,Em Estoque,448,0.0327,32176.32,52294.44,1.63,False,False
SKU-00073,Óleo Corporal Exclusivo Nude,Beleza,Óleo Corporal,FORN-014,12,211.46,658.2,22,5,17,143,2024-08-21,Estoque Crítico,211,0.0314,3594.82,11189.4,3.11,True,False
SKU-00074,Batom Edição Limitada Branco,Beleza,Batom,FORN-063,12,47.93,82.88,311,18,293,26,2023-05-20,Em Estoque,512,0.1911,14043.49,24283.84,1.73,False,False
SKU-00075,Creme Hidratante Sustentável Prata,Beleza,Creme Hidratante,FORN-078,11,57.69,157.08,436,55,381,120,2024-04-14,Em Estoque,644,0.2,21979.89,59847.48,2.72,False,False
SKU-00076,Caderno Edição Limitada Verde,Lifestyle,Caderno,FORN-086,9,162.23,299.19,472,121,351,27,2023-02-03,Em Estoque,448,0.3725,56942.73,105015.69,1.84,False,False
SKU-00077,Máscara de Cílios Exclusivo Preto,Beleza,Máscara de Cílios,FORN-076,55,274.61,619.88,447,108,339,23,2024-10-10,Em Estoque,397,0.0782,93092.79,210139.32,2.26,False,False
SKU-00078,Base Líquida Oversize Prata,Beleza,Base Líquida,FORN-048,6,309.79,780.22,413,54,359,16,2025-11-27,Em Estoque,209,0.091,111214.61,280098.98,2.52,False,False
SKU-00079,Almofada Oversize Verde,Lifestyle,Almofada,FORN-001,7,350.55,878.52,205,4,201,46,2025-11-01,Em Estoque,448,0.2657,70460.55,176582.52,2.51,False,False
SKU-00080,Blush Oversize Bege,Beleza,Blush,FORN-048,9,294.21,836.42,290,76,214,31,2023-03-06,Em Estoque,230,0.3373,62960.94,178993.88,2.84,False,False
SKU-00081,Top Edição Limitada Dourado,Moda,Top,FORN-078,12,177.39,345.01,840,28,812,82,2025-11-19,Em Estoque,448,0.3339,144040.68,280148.12,1.94,False,False
SKU-00082,Moletom Artesanal Preto,Moda,Moletom,FORN-001,8,134.54,260.74,140,18,122,93,2023-01-16,Em Estoque,448,0.0887,16413.88,31810.28,1.94,False,False
SKU-00083,Sombra Moderno Prata,Beleza,Sombra,FORN-072,15,326.36,559.81,441,10,431,121,2023-08-03,Em Estoque,619,0.2871,140661.16,241278.11,1.72,False,False
SKU-00084,Luminária Slim Branco,Lifestyle,Luminária,FORN-052,45,387.16,725.92,485,117,368,102,2023-07-28,Em Estoque,448,0.2184,142474.88,267138.56,1.87,False,False
SKU-00085,Base Líquida Edição Limitada Rosa,Beleza,Base Líquida,FORN-096,10,104.2,296.61,39,8,31,39,2025-09-07,Estoque Crítico,537,0.1762,3230.2,9194.91,2.85,True,False
SKU-00086,Cinto Luxo Bege,Acessórios,Cinto,FORN-031,6,75.65,144.92,308,19,289,29,2023-11-16,Em Estoque,448,0.2823,21862.85,41881.88,1.92,False,False
SKU-00087,Esfoliante Artesanal Nude,Beleza,Esfoliante,FORN-042,55,77.36,132.23,226,38,188,80,2025-01-12,Em Estoque,642,0.0198,14543.68,24859.24,1.71,False,False
SKU-00088,Creme Hidratante Básico Branco,Beleza,Creme Hidratante,FORN-079,14,212.69,497.77,283,5,278,125,2025-11-07,Em Estoque,667,0.2512,59127.82,138380.06,2.34,False,False
SKU-00089,Pochete Básico Verde,Acessórios,Pochete,FORN-092,47,211.73,397.23,126,28,98,122,2025-09-20,Estoque Crítico,448,0.0802,20749.54,38928.54,1.88,True,False
SKU-00090,Creme Hidratante Edição Limitada Vermelho,Beleza,Creme Hidratante,FORN-100,55,277.98,468.06,323,82,241,95,2023-06-04,Em Estoque,438,0.3621,66993.18,112802.46,1.68,False,False
SKU-00091,Espelho de Mesa Luxo Bege,Lifestyle,Espelho de Mesa,FORN-043,6,241.44,440.94,179,19,160,110,2023-10-23,Em Estoque,448,0.1555,38630.4,70550.4,1.83,False,False
SKU-00092,Condicionador Oversize Bege,Beleza,Condicionador,FORN-086,15,366.73,641.6,343,54,289,140,2024-01-12,Em Estoque,399,0.1715,105984.97,185422.4,1.75,False,False
SKU-00093,Garrafa Térmica Moderno Bege,Lifestyle,Garrafa Térmica,FORN-020,47,132.4,378.8,259,69,190,144,2023-11-11,Em Estoque,448,0.3094,25156.0,71972.0,2.86,False,False
SKU-00094,Máscara de Cílios Clássico Bege,Beleza,Máscara de Cílios,FORN-089,14,327.44,610.63,224,5,219,115,2024-11-24,Em Estoque,634,0.3057,71709.36,133727.97,1.86,False,False
SKU-00095,Kit Chá Moderno Prata,Lifestyle,Kit Chá,FORN-031,9,386.93,1104.68,462,49,413,104,2025-10-15,Em Estoque,448,0.1416,159802.09,456232.84,2.85,False,False
SKU-00096,Perfume Edição Limitada Bege,Beleza,Perfume,FORN-026,49,351.74,592.15,0,0,0,36,2025-09-28,Ruptura,265,0.3818,0.0,0.0,1.68,True,False
SKU-00097,Regata Clássico Vermelho,Moda,Regata,FORN-012,8,330.35,996.14,27,6,21,138,2024-04-13,Estoque Crítico,448,0.4973,6937.35,20918.94,3.02,True,False
SKU-00098,Sérum Facial Oversize Branco,Beleza,Sérum Facial,FORN-092,55,320.72,583.76,146,30,116,45,2025-08-15,Em Estoque,199,0.1287,37203.52,67716.16,1.82,False,False
SKU-00099,Planta Artificial Sport Nude,Lifestyle,Planta Artificial,FORN-068,11,62.25,128.29,154,7,147,22,2023-07-21,Em Estoque,448,0.2291,9150.75,18858.63,2.06,False,False
SKU-00100,Saia Artesanal Prata,Moda,Saia,FORN-003,15,215.84,428.9,147,0,147,100,2023-10-14,Em Estoque,448,0.3344,31728.48,63048.3,1.99,False,False
SKU-00101,Óleo Corporal Básico Prata,Beleza,Óleo Corporal,FORN-070,45,168.37,396.04,325,49,276,105,2024-12-01,Em Estoque,426,0.3667,46470.12,109307.04,2.35,False,False
SKU-00102,Condicionador Artesanal Verde,Beleza,Condicionador,FORN-018,46,153.87,329.54,329,22,307,128,2025-08-21,Em Estoque,648,0.0195,47238.09,101168.78,2.14,False,False
SKU-00103,Jaqueta Premium Verde,Moda,Jaqueta,FORN-040,13,171.33,497.65,484,48,436,83,2024-01-28,Em Estoque,448,0.1373,74699.88,216975.4,2.9,False,False
SKU-00104,Luminária Edição Limitada Dourado,Lifestyle,Luminária,FORN-050,55,390.01,933.65,254,47,207,142,2024-02-24,Em Estoque,448,0.2159,80732.07,193265.55,2.39,False,False
SKU-00105,Óculos de Sol Exclusivo Rosa,Acessórios,Óculos de Sol,FORN-042,48,50.43,134.02,156,28,128,119,2023-12-15,Em Estoque,448,0.0221,6455.04,17154.56,2.66,False,False
SKU-00106,Brinco Artesanal Vermelho,Acessórios,Brinco,FORN-036,15,392.41,1223.0,38,10,28,113,2024-09-26,Estoque Crítico,448,0.3752,10987.48,34244.0,3.12,True,False
SKU-00107,Camiseta Clássico Nude,Moda,Camiseta,FORN-087,12,33.22,56.73,797,92,705,108,2025-01-20,Em Estoque,448,0.2255,23420.1,39994.65,1.71,False,False
SKU-00108,Blush Delicado Branco,Beleza,Blush,FORN-074,49,221.19,494.77,332,35,297,73,2023-01-24,Em Estoque,300,0.1316,65693.43,146946.69,2.24,False,False
SKU-00109,Saia Moderno Nude,Moda,Saia,FORN-037,12,96.07,174.58,75,22,53,123,2023-11-28,Estoque Crítico,448,0.4933,5091.71,9252.74,1.82,True,False
SKU-00110,Difusor Exclusivo Prata,Lifestyle,Difusor,FORN-038,9,343.52,940.87,474,44,430,102,2025-04-04,Em Estoque,448,0.3962,147713.6,404574.1,2.74,False,False
SKU-00111,Saia Premium Verde,Moda,Saia,FORN-071,14,160.19,462.29,488,16,472,89,2024-12-24,Em Estoque,448,0.206,75609.68,218200.88,2.89,False,False
SKU-00112,Kit Skincare Básico Bege,Beleza,Kit Skincare,FORN-041,15,48.18,113.0,264,44,220,42,2025-11-19,Em Estoque,312,0.2169,10599.6,24860.0,2.35,False,False
SKU-00113,Bolsa de Couro Luxo Branco,Acessórios,Bolsa de Couro,FORN-067,49,135.57,252.04,478,57,421,98,2025-05-28,Em Estoque,448,0.099,57074.97,106108.84,1.86,False,False
SKU-00114,Colar Clássico Rosa,Acessórios,Colar,FORN-079,13,55.5,145.72,303,74,229,49,2023-11-20,Em Estoque,448,0.303,12709.5,33369.88,2.63,False,False
SKU-00115,Espelho de Mesa Premium Preto,Lifestyle,Espelho de Mesa,FORN-011,5,380.45,1078.06,135,13,122,116,2025-11-01,Em Estoque,448,0.314,46414.9,131523.32,2.83,False,False
SKU-00116,Shorts Sustentável Azul,Moda,Shorts,FORN-088,11,133.02,228.36,825,123,702,128,2023-06-20,Em Estoque,448,0.4309,93380.04,160308.72,1.72,False,False
SKU-00117,Blusa de Tricô Edição Limitada Bege,Moda,Blusa de Tricô,FORN-098,56,215.69,381.75,247,34,213,125,2023-03-04,Em Estoque,448,0.4727,45941.97,81312.75,1.77,False,False
SKU-00118,Mochila Moderno Bege,Acessórios,Mochila,FORN-042,55,92.14,170.91,263,59,204,137,2024-08-01,Em Estoque,448,0.1972,18796.56,34865.64,1.85,False,False
SKU-00119,Protetor Solar Moderno Nude,Beleza,Protetor Solar,FORN-046,46,39.21,93.78,0,0,0,83,2025-01-28,Ruptura,317,0.4413,0.0,0.0,2.39,True,False
SKU-00120,Luminária Oversize Preto,Lifestyle,Luminária,FORN-052,46,236.71,452.46,283,36,247,28,2024-09-15,Em Estoque,448,0.1406,58467.37,111757.62,1.91,False,False
SKU-00121,Cinto Artesanal Branco,Acessórios,Cinto,FORN-017,48,169.68,487.29,173,35,138,103,2023-04-20,Em Estoque,448,0.2505,23415.84,67246.02,2.87,False,False
SKU-00122,Vestido Sport Verde,Moda,Vestido,FORN-061,59,76.6,232.02,143,39,104,91,2023-07-20,Em Estoque,448,0.1503,7966.4,24130.08,3.03,False,False
SKU-00123,Regata Exclusivo Dourado,Moda,Regata,FORN-091,54,200.46,326.07,339,53,286,88,2025-12-21,Descontinuado,448,0.2378,57331.56,93256.02,1.63,False,True
SKU-00124,Chapéu Artesanal Azul,Acessórios,Chapéu,FORN-093,5,241.74,452.74,322,92,230,107,2023-11-08,Descontinuado,448,0.4742,55600.2,104130.2,1.87,False,True
SKU-00125,Camiseta Sustentável Verde,Moda,Camiseta,FORN-054,49,176.92,340.79,513,120,393,25,2025-03-17,Em Estoque,448,0.1632,69529.56,133930.47,1.93,False,False
SKU-00126,Planta Artificial Edição Limitada Verde,Lifestyle,Planta Artificial,FORN-023,12,366.61,787.38,181,43,138,77,2025-08-07,Em Estoque,448,0.1402,50592.18,108658.44,2.15,False,False
SKU-00127,Shorts Delicado Rosa,Moda,Shorts,FORN-091,51,282.29,672.53,491,70,421,83,2023-10-22,Em Estoque,448,0.448,118844.09,283135.13,2.38,False,False
SKU-00128,Óleo Corporal Delicado Bege,Beleza,Óleo Corporal,FORN-038,5,129.3,354.62,177,28,149,75,2025-08-07,Em Estoque,457,0.4666,19265.7,52838.38,2.74,False,False
SKU-00129,Porta-Retrato Básico Nude,Lifestyle,Porta-Retrato,FORN-095,14,110.93,186.5,463,135,328,67,2025-04-02,Em Estoque,448,0.1658,36385.04,61172.0,1.68,False,False
SKU-00130,Esfoliante Delicado Bege,Beleza,Esfoliante,FORN-001,13,391.61,725.54,334,60,274,132,2025-04-25,Em Estoque,508,0.1434,107301.14,198797.96,1.85,False,False
SKU-00131,Calça Jeans Urban Nude,Moda,Calça Jeans,FORN-030,13,300.7,890.23,38,2,36,116,2023-01-27,Estoque Crítico,448,0.1991,10825.2,32048.28,2.96,True,False
SKU-00132,Sombra Luxo Rosa,Beleza,Sombra,FORN-005,45,133.39,342.07,475,85,390,82,2024-11-18,Em Estoque,317,0.4257,52022.1,133407.3,2.56,False,False
SKU-00133,Protetor Solar Delicado Branco,Beleza,Protetor Solar,FORN-043,7,297.83,785.45,367,23,344,13,2025-06-26,Em Estoque,377,0.0886,102453.52,270194.8,2.64,False,False
SKU-00134,Mochila Luxo Vermelho,Acessórios,Mochila,FORN-066,10,52.96,141.45,94,4,90,132,2024-04-01,Estoque Crítico,448,0.1311,4766.4,12730.5,2.67,True,False
SKU-00135,Shorts Oversize Rosa,Moda,Shorts,FORN-075,45,119.39,259.71,521,119,402,88,2023-07-22,Em Estoque,448,0.4477,47994.78,104403.42,2.18,False,False
SKU-00136,Almofada Sport Branco,Lifestyle,Almofada,FORN-082,54,159.67,311.89,490,34,456,132,2023-08-24,Em Estoque,448,0.1874,72809.52,142221.84,1.95,False,False
SKU-00137,Kit Chá Delicado Prata,Lifestyle,Kit Chá,FORN-086,8,309.51,832.13,305,10,295,144,2024-09-23,Em Estoque,448,0.4587,91305.45,245478.35,2.69,False,False
SKU-00138,Regata Exclusivo Azul,Moda,Regata,FORN-074,49,82.52,244.85,610,183,427,135,2023-09-15,Em Estoque,448,0.2273,35236.04,104550.95,2.97,False,False
SKU-00139,Blush Artesanal Preto,Beleza,Blush,FORN-072,12,275.65,576.96,11,3,8,75,2023-12-07,Estoque Crítico,254,0.0236,2205.2,4615.68,2.09,True,False
SKU-00140,Calça Jeans Exclusivo Preto,Moda,Calça Jeans,FORN-009,12,32.06,72.27,1056,215,841,105,2024-08-28,Em Estoque,448,0.1894,26962.46,60779.07,2.25,False,False
SKU-00141,Top Luxo Prata,Moda,Top,FORN-018,56,65.08,207.51,402,93,309,67,2023-01-10,Em Estoque,448,0.3598,20109.72,64120.59,3.19,False,False
